gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,lore_historico
1,A20,A20,Douglas A-20 Havoc,Boston Light Bomber / Night-Fighter,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=186,"The Douglas A-20 Havoc (company designation DB-7) is an American light bomber, attack aircraft, night intruder, night fighter, and reconnaissance aircraft of World War II.
Designed to meet an Army Air Corps requirement for a bomber, it was ordered by France for its air force before the USAAC decided the aircraft would also meet its requirements. French DB-7s were the first to see combat; after the fall of France, the bomber served with the Royal Air Force under the service name Boston."
2,A24,A24,Douglass A-24 Banshee,Dive Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=491,"The McDonnell Douglas F-4 Phantom II is an American tandem two-seat, twin-engine, all-weather, long-range supersonic jet interceptor and fighter-bomber that was developed by McDonnell Aircraft for the United States Navy. It entered service with the Navy in 1961, then was adopted by the United States Marine Corps, and the United States Air Force, and within a few years became a major part of their air arms."
3,A26,A26,Douglas A-26 Invader,Medium Bomber / Heavy Assault,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=91,"The Douglas A-26 Invader (designated B-26 between 1948 and 1965) is an American twin-engined light bomber and ground attack aircraft. Built by Douglas Aircraft Company during World War II, the Invader also saw service during several major Cold War conflicts."
4,A36,A36,North American A-36 Apache (Invader),Ground Attack / Dive Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=687,"The North American A-36 (company designation NA-97, listed in some sources as ""Apache"" or ""Invader"", but officially called Mustang) is the ground-attack/dive bomber version of the North American P-51 Mustang, from which it could be distinguished by the presence of rectangular, slatted dive brakes above and below the wings. A total of 500 A-36 dive bombers served in the Mediterranean and Southeast Asia theaters during World War II before being withdrawn from operational use in 1944.
The A-36 project was a stopgap measure intended to keep North American Aviation (NAA) assembly lines running during the first half of 1942 despite the US having exhausted its funds earmarked for fighter aircraft.."
5,ALBA,Albacore,Fairey Albacore,Naval Torpedo Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=1390,"The Fairey Albacore is a single-engine biplane torpedo bomber designed and produced by the British aircraft manufacturer Fairey Aviation. It was primarily operated by the Royal Navy Fleet Air Arm (FAA) during the Second World War.
The Albacore, popularly known as the ""Applecore"", was conceived as a replacement for the Fairey Swordfish, an earlier biplane introduced during the mid 1930s."
6,AUDA,Audax,Hawker Audax,Biplane Light Bomber,http://en.wikipedia.org/wiki/Hawker_Hart,The Hawker Hart is a British two-seater biplane light bomber aircraft that saw service with the Royal Air Force (RAF). It was designed during the 1920s by Sydney Camm and manufactured by Hawker Aircraft.
7,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,"The Boeing B-17 Flying Fortress is an American four-engined heavy bomber aircraft that was developed in the mid-1930s for the United States Army Air Corps (USAAC). A fast and high-flying bomber used primarily in the European Theater of Operations, the B-17 dropped more bombs than any other aircraft during World War II."
8,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,"The Consolidated B-24 Liberator was an American four-engine heavy bomber used by the United States Army Air Forces (USAAF) and other allied air forces during World War II. Of the 19,256 B-24, PB4Y-1, LB-30 and other model variants in the Liberator family produced, fourteen complete airframes (including one airworthy example) survive today."
9,B25,B25,B-25 Mitchell,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=81,"When the 1970 film adaption of Catch-22 began preliminary production, Paramount made a decision to hire the Tallmantz Aviation organization to obtain sufficient North American B-25 Mitchell (B-25) bomber aircraft to recreate a Mediterranean wartime base depicted in the novel. Tallmantz president, Frank G."
10,B26,B26,Martin B-26 Marauder,Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=299,"The Martin B-26 Marauder is an American twin-engined medium bomber that saw extensive service during World War II. The B-26 was built at two locations: Baltimore, Maryland, and Omaha, Nebraska, by the Glenn L."
11,B29,B29,Boeing B-29 Superfortress,"""Strategic Long-Range, High-Altitude Heavy Bomber""",http://militaryfactory.com/aircraft/detail.asp?aircraft_id=825,"The Boeing B-29 Superfortress is a retired American four-engined propeller-driven heavy bomber, designed by Boeing and flown primarily by the United States during World War II and the Korean War. Named in allusion to its predecessor, the Boeing B-17 Flying Fortress, the Superfortress was designed for high-altitude strategic bombing, but also excelled in low-altitude night incendiary bombing and in dropping naval mines to blockade Japan."
12,B32,B32,B-32 Dominator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=655,"The Consolidated B-32 Dominator (Consolidated Model 34) was an American heavy strategic bomber built for the United States Army Air Forces during World War II. A B-32 was involved in the last air combat engagement of the war, resulting in the war's last American air combat death."
13,BALT,Baltimore,Martin Baltimore,Light / Medium Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=264,The Martin 187 Baltimore was a twin-engined light attack bomber built by the Glenn L. Martin Company in the United States as the A-30.
14,BATT,Fairey Battle,Fairey Battle,Light Bomber / Trainer,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=851,The Fairey Battle is a British single-engine light bomber that was designed and manufactured by the Fairey Aviation Company. It was developed during the mid-1930s for the Royal Air Force (RAF) as a monoplane successor to the Hawker Hart and Hind biplanes.
